"name","substanceId","casNo","ecNo","pubchem_cid","pubchem"
"water","92472","7732-18-5","231-791-2 (I)",962,"https://pubchem.ncbi.nlm.nih.gov/compound/962"
"ammonium hydroxide","31870","1336-21-6","215-647-6",14923,"https://pubchem.ncbi.nlm.nih.gov/compound/14923"
"soluble collagen","78527",,,,""
"cetearyl alcohol","75132","67762-27-0 / 8005-44-5","267-008-6 / -",62238,"https://pubchem.ncbi.nlm.nih.gov/compound/62238"
"stearyl alcohol","38319","112-92-5","204-017-6",8221,"https://pubchem.ncbi.nlm.nih.gov/compound/8221"
"ceteareth-20","75105","68439-49-6",,,""
"isostearyl alcohol","34752","27458-93-1","248-470-8",62825,"https://pubchem.ncbi.nlm.nih.gov/compound/62825"
"ceteareth-12","75097","68439-49-6",,,""
"ceteareth-30","75114","68439-49-6",,,""
"batyl alcohol","32087","544-62-7","208-874-7",3681,"https://pubchem.ncbi.nlm.nih.gov/compound/3681"
"ppg-11 stearyl ether","37064","25231-21-4",,62793,"https://pubchem.ncbi.nlm.nih.gov/compound/62793"
"steareth-20","78992","9005-00-9 (Generic)",,75050,"https://pubchem.ncbi.nlm.nih.gov/compound/75050"
"steareth-2","78990","9005-00-9 (Generic) / 16057-43-5","500-017-8 / -",75050,"https://pubchem.ncbi.nlm.nih.gov/compound/75050"
"ppg-15 stearyl ether","37082","25231-21-4",,62793,"https://pubchem.ncbi.nlm.nih.gov/compound/62793"
"steareth-100","78984","9005-00-9 (Generic)",,75050,"https://pubchem.ncbi.nlm.nih.gov/compound/75050"
"steareth-4","79061","9005-00-9 (Generic) / 59970-10-4",,75050,"https://pubchem.ncbi.nlm.nih.gov/compound/75050"
"steareth-10","78982","9005-00-9 (Generic) / 13149-86-5",,,""
"steareth-6","79066","9005-00-9 (Generic) / 2420-29-3",,75493,"https://pubchem.ncbi.nlm.nih.gov/compound/75493"
"ppg-15 stearyl ether benzoate","79860","-","-",,""
"isosteareth-20","34742","52292-17-8",,,""
"methyl gluceth-20 benzoate","78262","-","-",,""
"capryloyl salicylic acid","32421","70424-62-3",,,""
"octyldodecyl stearoyl stearate","35635","90052-75-8","289-991-0",174782,"https://pubchem.ncbi.nlm.nih.gov/compound/Octyldodecyl-stearoyl-stearate"
"pentaerythrityl tetraisostearate","36473","62125-22-8","263-423-1",173849,"https://pubchem.ncbi.nlm.nih.gov/compound/173849"
"glyceryl stearate se","76256","11099-07-3","234-325-6",93066,"https://pubchem.ncbi.nlm.nih.gov/compound/93066"
"polyglyceryl-3 diisostearate","78891","66082-42-6 / 85666-92-8","- / -",,""
"trihydroxystearin","38718","139-44-6","205-364-6",25100,"https://pubchem.ncbi.nlm.nih.gov/compound/25100"
"steareth-21","79291","9005-00-9 (Generic)",,75050,"https://pubchem.ncbi.nlm.nih.gov/compound/75050"
"glyceryl stearate citrate","76253","55840-13-6 / 86418-55-5","259-855-5",,""
"ceteareth-25","75108","68439-49-6",,,""
"gelatin","33983","9000-70-8","232-554-6",,""
"gelatin crosspolymer","56326",,,,""
"betaphycus gelatinum extract","54748",,,,""
"hydrolyzed gelatin","34430","68410-45-7","270-082-2",,""
"peg-150 distearate","77715","9005-08-7","-",16211945,"https://pubchem.ncbi.nlm.nih.gov/compound/16211945"
"potassium cetyl phosphate","79512","84861-79-0; 19035-79-1","284-374-2; 242-768-1",23672321,"https://pubchem.ncbi.nlm.nih.gov/compound/23672321"
"menthol","35228","1490-04-6 / 2216-51-5 / 89-78-1 / 15356-70-4","216-074-4 / 218-690-9 / 201-939-0 / 239-388-3",16666,"https://pubchem.ncbi.nlm.nih.gov/compound/16666"
"menthyl acetate","78157","89-48-5","201-911-8",27867,"https://pubchem.ncbi.nlm.nih.gov/compound/27867"
"menthyl anthranilate","78158","134-09-8","205-129-8",8633,"https://pubchem.ncbi.nlm.nih.gov/compound/8633"
"polysorbate 80","36902","9005-65-6",,443315,"https://pubchem.ncbi.nlm.nih.gov/compound/443315"
"polysorbate 61","79322","9005-67-8",,,""
"snail secretion filtrate","58704",,,,""
"amodimethicone","31907","71750-80-6","-",,""
"trimethylsiloxyamodimethicone","59865",,,,""
"bis-hydroxy/methoxy amodimethicone","85389","831241-93-1","-",,""
"peg-7 amodimethicone","57155","133779-14-3",,,""
"trimethylsilylamodimethicone","80399",,,,""
"bis-cetearyl amodimethicone","87257","1126942-72-0","-",,""
"amodimethicone/morpholinomethyl silsesquioxane copolymer","90195","1293390-78-9",,,""
"methoxy amodimethicone/silsesquioxane copolymer","57950",,,,""
"trideceth-9 pg-amodimethicone","59819","-","-",,""
"glyceryl oleate","76237","25496-72-4 / 111-03-5","247-038-6",33022,"https://pubchem.ncbi.nlm.nih.gov/compound/33022"
"polyglyceryl-3 polyricinoleate","78902","29894-35-7 / 235783-76-3","- / -",,""
"polyglyceryl-6 polyricinoleate","58637","107615-51-0","-",,""
"peg-18 glyceryl oleate/cocoate","77809",,,,""
"polyglyceryl-10 oleate","78764","79665-93-3","279-230-0",,""
"polyglyceryl-2 oleate","78784","49553-76-6 / 9007-48-1",,6435909,"https://pubchem.ncbi.nlm.nih.gov/compound/6435909"
