Product Name,Brand,Ingredient name,what-it-does,"irr.,  com.",ID-Rating
Niacinamide 10% + Zinc 1% (Discontinued),The Ordinary,Aqua (Water),solvent,,
Niacinamide 10% + Zinc 1% (Discontinued),The Ordinary,Niacinamide,"cell-communicating ingredient,  skin brightening,  anti-acne,  moisturizer/​humectant",,superstar
Niacinamide 10% + Zinc 1% (Discontinued),The Ordinary,Pentylene Glycol,"solvent,  moisturizer/​humectant",,
Niacinamide 10% + Zinc 1% (Discontinued),The Ordinary,Zinc Pca,"anti-acne,  moisturizer/​humectant",,goodie
Niacinamide 10% + Zinc 1% (Discontinued),The Ordinary,Dimethyl Isosorbide,"solvent,  viscosity controlling",,
Niacinamide 10% + Zinc 1% (Discontinued),The Ordinary,Tamarindus Indica Seed Gum,"moisturizer/​humectant,  viscosity controlling",,goodie
Niacinamide 10% + Zinc 1% (Discontinued),The Ordinary,Xanthan Gum,viscosity controlling,,
Niacinamide 10% + Zinc 1% (Discontinued),The Ordinary,Isoceteth-20,"emulsifying,  surfactant/​cleansing",,
Niacinamide 10% + Zinc 1% (Discontinued),The Ordinary,Ethoxydiglycol,"solvent,  moisturizer/​humectant,  perfuming","0,  0",
Niacinamide 10% + Zinc 1% (Discontinued),The Ordinary,Phenoxyethanol,preservative,,
Niacinamide 10% + Zinc 1% (Discontinued),The Ordinary,Chlorphenesin,"preservative,  antimicrobial/​antibacterial",,
Hyaluronic Acid 2% + B5,The Ordinary,Aqua (Water),solvent,,
Hyaluronic Acid 2% + B5,The Ordinary,Sodium Hyaluronate,"skin-identical ingredient,  moisturizer/​humectant","0,  0",goodie
Hyaluronic Acid 2% + B5,The Ordinary,Pentylene Glycol,"solvent,  moisturizer/​humectant",,
Hyaluronic Acid 2% + B5,The Ordinary,Propanediol,"solvent,  moisturizer/​humectant",,
Hyaluronic Acid 2% + B5,The Ordinary,Sodium Hyaluronate Crosspolymer,"skin-identical ingredient,  antioxidant,  moisturizer/​humectant",,goodie
Hyaluronic Acid 2% + B5,The Ordinary,Panthenol,"soothing,  moisturizer/​humectant","0,  0",goodie
Hyaluronic Acid 2% + B5,The Ordinary,Ahnfeltia Concinna Extract,viscosity controlling,,goodie
