ingredient_id,ingredient_name
1,['Capri Eau de Parfum:'
2,'Alcohol Denat. (SD Alcohol 39C)
3,Parfum (Fragrance) D-Limonene
4,Linalool
5,Benzyl Salicylate
6,Ethylhexyl Methoxycinnamate
7,Butyl Methoxydibenzoylmethane
8,Ethylhexyl Salicylate
9,Benzl Benzoate
10,Citral
11,Geraniol
12,Eugenol
13,Benzyl Alcohol
14,Farnesol
15,Citronellol
16,Isoeugenol.'
17,'Invisible Post Eau de Parfum:'
18,Parfum (Fragrance) Ethylhexyl Methoxycinnamate
19,Benzyl Benzoate
20,Coumarin
21,Limonene
22,Alpha-Isomethyl Ionone
23,Linalool.'
24,'Kashbah Eau de Parfum:'
25,Parfum (Fragrance) Coumarin
26,D-Limonene
27,Cinnamal
28,Citral.'
29,'L’Air Barbes Eau de Parfum:'
30,Parfum (Fragrance) Benzyl Salicylate
31,Linalool Citral
32,Alphaisomethyl Ionone
33,Geraniol Farnesol
34,Isoeugenol
35,Eugenol.'
36,'La Habana Eau de Parfum:'
37,Benzyl Cinnamate
38,Coumarin Limonene
39,'Purple Haze Eau de Parfum:'
40,Parfum (Fragrance) Octoxynol-10
41,'Rainbow Bar Eau de Parfum:'
42,Hexyl Cinnamal
43,Geraniol.']
44,['Alcohol Denat. (SD Alcohol 39C)
45,Linalool.']
46,Hexyl Cinnamal Citronellol
47,Citral.']
48,'
49,'Butyl Methoxydibenzoylmethane
50,'Benzl Benzoate
51,Isoeugenol.']
52,Eugenol.']
53,['Butyrospermum Parkii (Shea Nilotica) Butter
54,Butyrospermum Parkii (Shea) Butter
55,Simmondsia Chinensis (Jojoba) Seed Oil
56,Adansonia Digitata (Baobab) Oil
57,Prunus Amygdalus Dulcis (Sweet Almond) Oil
58,Vitis Vinifera (Grape) Seed Oil
59,Persea gratissima (Avocado) Oil
60,Cocos nucifera (Coconut) oil
61,Vanilla Planifolia (Vanilla) Fruit Extract
62,Honey
63,*Tocopherol (mixed)
64,*Beta-Sitosterol
65,*Squalane.']
66,['Egyptian Lavender + Moroccan Mint:'
67,'Butyrospermum Parkii (Shea Nilotica) Butter
68,Persea Gratissima (Avocado) Oil
69,Lavandula Angustifolia (Lavender) Flower Oil
70,Mentha Piperita (Peppermint) Oil
71,*Tocopherol (Mixed)
72,*Squalane.'
73,'Kenyan Hibiscus + Moroccan Rose:'
74,Cocos Nucifera (Coconut) Oil
75,(Rose Absolute)
76,Hibiscus Sabdariffa (Hibiscus) Seed Oil
77,'Ugandan Vanilla + Ethiopian Honey:'
78,'Nigerian Lemongrass + South African Palmarosa:'
79,Cymbopogon Schoenanthus (Lemongrass) Oil
80,Cymbopogon Martini (Palmarosa) Oil
81,**Squalane.'
82,'Moroccan Blue Tansy + Egyptian Blue Chamomile:'
83,Tanacetum Annum (Tansy) Essential Oil
84,Matricaria Recutita (Blue Chamomile Flower) Oil
85,['Big Sky:'
86,'Water
87,Denatured Ethyl Alcohol
88,Fragrance
89,1-(2
90,2
91,6-Trimethylcyclohexyl)Hexan-3-Ol
92,4-(1-Ethoxyethenyl)-3
93,3
94,5
95,5-Tetramethylcyclohexan-1-One
96,Cedrus Atlantica Wood Oil
97,Dihydro Pentamethylindanone
98,Dipropylene Glycol
99,Ethylene Brassylate
100,Tetramethyl Acetyloctahydronaphthalenes.'
101,'Crescent Beach:'
102,(10z)-1-Oxacycloheptadec-10-En-2-One
103,1-Methyl-4-(4-Methylpent-3-Enyl)Cyclohex-3-Ene-1-Carbaldehyde
104,4-Dimethyl-4
105,4a
106,9b-Tetrahydroindeno[1
107,2-D][1
108,3]Dioxine
109,Cyclamen Aldehyde
110,Dimethylcyclohexylethoxy Isobutylpropanoate
111,Ethyl Linalool
112,Ethylene Dodecanedioate
113,Isobutyl Methyl Tetrahydropyranol
114,Methyldihydrojasmonate
115,Methylenedioxyphenyl Methylpropanal
116,Phenethyl Alcohol.'
117,'Mojave:'
118,(3r
119,3as
120,6s
121,7r
122,8as)-6-Methoxy-3
123,6
124,8
125,8-Tetramethyloctahydro-1h-3a
126,7-Methanoazulene
127,6-Dimethoxy-2
128,5-Trimethylhex-2-Ene
129,Boswellia Carterii Oil
130,Canarium Luzonicum Gum Nonvolatiles
131,Citrus Aurantium Bergamia (Bergamot) Peel Oil
132,Citrus Limon (Lemon) Peel Oil
133,Juniperus Virginiana Wood Oil
134,Piper Nigrum (Pepper) Fruit Oil
135,Tetramethyl Acetyloctahydronaphthalenes Dihydro Pentamethylindanone
136,Linalyl Acetate
137,'Montecito:'
138,Citrus Nobilis (Mandarin Orange) Peel Oil
139,Citrus Paradisi (Grapefruit) Peel Oil
140,'Sequoia:'
141,(3r-(3a
142,3ab
143,7b
144,8aa))-1-(2
145,4
146,7
147,8a-Hexahydro-3
148,8-Tetramethyl-1h-3a
149,7-Methanoazulen-5-Yl)Ethan-1-One
150,(4e)-3-Methyl-5-(2
151,3-Trimethylcyclopent-3-En-1-Yl)Pent-4-En-2-Ol
152,(Ethoxymethoxy)Cyclododecane
153,Methoxytrimethylheptanol
